time (milliseconds since 1970-01-01),longwave (W/m^2)
1.50504762E12,1.6419900248365593E-6
1.50504768E12,1.726200025586877E-6
1.50504774E12,1.7815599449022557E-6
1.5050478E12,1.840310005718493E-6
1.50504786E12,1.8639700556377647E-6
1.50504792E12,1.8678599644772476E-6
1.50504798E12,1.8760899820335908E-6
1.50504804E12,1.8891900026574149E-6
1.5050481E12,1.8864000139728887E-6
1.50504816E12,1.8755499695544131E-6
1.50504822E12,1.8679400000110036E-6
1.50504828E12,1.8542899624662823E-6
1.50504834E12,1.8392699985270156E-6
1.5050484E12,1.8382900179858552E-6
1.50504846E12,1.8179299559051287E-6
1.50504852E12,1.7945000081454054E-6
1.50504858E12,1.7679000166026526E-6
1.50504864E12,1.7350299685858772E-6
1.5050487E12,1.7012399666782585E-6
1.50504876E12,1.6722899545129621E-6
1.50504882E12,1.648549982746772E-6
1.50504888E12,1.6238100215559825E-6
1.50504894E12,1.5940499906719197E-6
1.505049E12,1.569439973536646E-6
1.50504906E12,1.553849983793043E-6
1.50504912E12,1.535429987598036E-6
1.50504918E12,1.5187899862212362E-6
1.50504924E12,1.5066300420585321E-6
1.5050493E12,1.4953600384615129E-6
1.50504936E12,1.490289946559642E-6
1.50504942E12,1.4737499896000372E-6
1.50504948E12,1.4620700312661938E-6
1.50504954E12,1.456460040571983E-6
1.5050496E12,1.4521200455419603E-6
1.50504966E12,1.4450699836743297E-6
1.50504972E12,1.4344800547405612E-6
1.50504978E12,1.4324899666462443E-6
1.50504984E12,1.4257500424719183E-6
1.5050499E12,1.4308600384538295E-6
1.50504996E12,1.5154399761740933E-6
1.50505002E12,1.9023899540115963E-6
1.50505008E12,1.8898399503086694E-6
1.50505014E12,1.571699954183714E-6
1.5050502E12,1.4545599924531416E-6
1.50505026E12,1.410439949722786E-6
1.50505032E12,1.3842800399288535E-6
1.50505038E12,1.3678100003744476E-6
1.50505044E12,1.3497600548362243E-6
1.5050505E12,1.326479946328618E-6
1.50505056E12,1.30902003547817E-6
1.50505062E12,1.2855799695898895E-6
1.50505068E12,1.2875799484390882E-6
1.50505074E12,1.3339799806999508E-6
1.5050508E12,1.2984299928575638E-6
1.50505086E12,1.2344199831204605E-6
1.50505092E12,1.1860900031024357E-6
1.50505098E12,1.157680003416317E-6
1.50505104E12,1.1407699957999284E-6
1.5050511E12,1.1179699868080206E-6
1.50505116E12,1.0918299722106894E-6
1.50505122E12,1.0736499689301127E-6
1.50505128E12,1.055610027833609E-6
1.50505134E12,1.0392700460215565E-6
1.5050514E12,1.0242599728371715E-6
1.50505146E12,1.010919959298917E-6
1.50505152E12,9.990219496103236E-7
1.50505158E12,9.872619557427242E-7
1.50505164E12,9.76120986706519E-7
1.5050517E12,9.622959851185442E-7
1.50505176E12,9.512600058769749E-7
1.50505182E12,9.385059911437565E-7
1.50505188E12,9.261920013159397E-7
1.50505194E12,9.177909987556632E-7
1.505052E12,9.025039844345883E-7
1.50505206E12,8.803719993011327E-7
1.50505212E12,8.659599757265823E-7
1.50505218E12,8.552859753763187E-7
1.50505224E12,8.419859796049423E-7
1.5050523E12,8.245299909503956E-7
1.50505236E12,8.139469969137281E-7
1.50505242E12,8.016450010472909E-7
1.50505248E12,7.827879926480819E-7
1.50505254E12,7.663670089641528E-7
1.5050526E12,7.508990051974251E-7
1.50505266E12,7.448380188179726E-7
1.50505272E12,7.67451979299949E-7
1.50505278E12,7.756839863759524E-7
1.50505284E12,7.541070203842537E-7
1.5050529E12,7.345259973590146E-7
1.50505296E12,7.165249940044305E-7
1.50505302E12,7.152589773795626E-7
1.50505308E12,7.094240004335006E-7
1.50505314E12,7.051280022096762E-7
1.5050532E12,7.281939815584337E-7
1.50505326E12,7.898700005171122E-7
1.50505332E12,1.0491299917703145E-6
1.50505338E12,1.6238999478446203E-6
